source	disposition	target_or_reason
artifact-over-proxy	DUP	CHECKS.md#8
ask-what-the-laziest-artifact-satisfying-your-criterion-looks-like	DUP	CHECKS.md#8
ask-whether-a-load-bearing-premise-was-derived-or-merely-inherited	DROP	proposed for promotion, not taken: covered by fleet/agreement-is-not-corroboration-when-a-premise-was-inherited.md and CHECKS.md#4
assert-specific-error-variant-not-is-err	DUP	agent/memory/build/assert-specific-error-variant-not-is-err.md (checked-in copy current; no fold)
asserting-single-site-enumeration-is-not-implementing-it	DUP	agent/memory/roles/adversary/a-corrections-sweep-population-is-its-own-diff-scope.md
atomic-capstone-freeze-excludes-concurrent-work-on-frozen-artifact	DUP	agent/memory/roles/steward/atomic-capstone-freeze-excludes-concurrent-work-on-frozen-artifact.md (checked-in copy current; no fold)
attribute-a-suite-arm-reject-before-calling-it-a-gap	DUP	agent/memory/enclave/attribute-a-suite-arm-reject-before-calling-it-a-gap.md (checked-in copy current; no fold)
attribute-every-grep-hit-to-its-cfg-profile-before-counting-it	DUP	CHECKS.md#3
attribution-can-be-decidable-structurally-when-the-log-is-only-an-aggregate	DUP	CHECKS.md#6
audit-a-detector-against-the-case-whose-answer-you-already-know	DUP	agent/memory/roles/steward/audit-a-detector-against-the-case-whose-answer-you-already-know.md (checked-in copy current; no fold)
audit-your-own-new-lines-for-the-defect-class-you-just-diagnosed	DROP	narrow self-audit reflex; adjacent to existing outward-audit-bias lesson, not distinct enough
auditing-a-new-conversion-checker-congruence-arm-for-over-accept	DUP	agent/memory/teams/kernel/kernel-completeness-gap-shapes.md
awk-length-miscounts-multibyte-wrap-check	DUP	agent/memory/roles/steward/awk-length-miscounts-multibyte-wrap-check.md (checked-in copy current; no fold)
bash-cd-main-repo-vs-steward-worktree	DUP	agent/memory/roles/steward/bash-cd-main-repo-vs-steward-worktree.md (checked-in copy current; no fold)
batched-plan-needs-explicit-self-continue-autonomy	DUP	agent/memory/build/leaders/batched-plan-needs-explicit-self-continue-autonomy.md (checked-in copy current; no fold)
before-arguing-which-knob-governs-a-phase-verify-the-run-reached-that-phase	DUP	agent/memory/fleet/before-arguing-which-knob-governs-a-phase-verify-the-run-reached-that-phase.md (checked-in copy current; no fold)
before-declaring-a-citation-unresolvable-check-that-your-instrument-could-have-produced-a-hit	DROP	proposed for promotion, not taken: covered by fleet/a-line-local-operation-lies-about-hard-wrapped-text.md and roles/adversary/a-citation-that-does-not-resolve-needs-checking-against-every-tree.md
before-escalating-a-blocked-seat-check-whether-you-are-also-in-the-chain	DUP	agent/memory/enclave/a-block-recorded-as-an-unresolved-decision-outlives-the-thing-it-blocked.md
before-ruling-a-requirement-unmotivated-search-the-spec-for-it	DROP	proposed for promotion, not taken: enclave review habit; covered by CHECKS.md#4
brief-settled-input-enabler-must-be-probed	DUP	agent/memory/roles/steward/brief-settled-input-enabler-must-be-probed.md (checked-in copy current; no fold)
build-and-feature-topology-index	DROP	index file (injected MEMORY.md or a sub-index); no lesson content
buildability-claim-ground-every-axis	DUP	July migration: agent/memory/enclave/buildability-ruling-must-ground-every-axis.md
buildability-classify-every-capability-axis	DUP	July migration: agent/memory/enclave/buildability-ruling-must-ground-every-axis.md
buildability-ruling-must-ground-every-axis	DUP	agent/memory/enclave/buildability-ruling-must-ground-every-axis.md (checked-in copy current; no fold)
builtins-campaign-architect-design-lead	DROP	July migration already dropped it: stale/superseded -- long BUILTINS campaign narrative (WP-status, evt_ ids, per-row verdict
builtins-tcb-audit-disciplines	DUP	agent/memory/roles/conformance-validator/builtins-tcb-audit-disciplines.md (checked-in copy current; no fold)
bundled-changes-need-per-mechanism-isolation-flip	DUP	agent/memory/build/qa/bundled-changes-need-per-mechanism-isolation-flip.md (checked-in copy current; no fold)
bundled-frame-doc-goes-stale-when-mechanism-flips	DUP	agent/memory/roles/steward/bundled-frame-doc-goes-stale-when-mechanism-flips.md (checked-in copy current; no fold)
busy-detector-regex-must-match-the-minutes-elapsed-format	DUP	agent/memory/roles/steward/a-working-idle-grep-keyed-on-one-harnesses-footer-reports-false-idle-on-the-other.md
cancel-watchdog-cron-when-fleet-quiescent	OPERATOR	listed for the Steward (not placed in the corpus)
canonicalizer-determinism-needs-explicit-convergence-direction	DUP	agent/memory/fleet/freezing-a-canonical-form-name-the-ambiguity-that-would-have-stopped-you.md
canonizing-a-ruling-freezes-it-so-check-currency-before-you-make-it-durable	DUP	agent/memory/enclave/enclave-ruling-in-thread-is-not-a-durable-deliverable.md
capability-gate-three-state-lifecycle	DUP	agent/memory/enclave/capability-gate-three-state-lifecycle.md (checked-in copy current; no fold)
capitalized-identifiers-never-scope-check	DUP	agent/memory/teams/language/capitalized-identifiers-never-scope-check.md (checked-in copy current; no fold)
cargo-captures-test-stderr-so-an-eprintln-census-counts-only-failures	DUP	agent/memory/fleet/attributing-interleaved-output-to-the-adjacent-test-is-not-a-measurement.md
cargo-check-does-not-compile-cfg-test-so-a-green-check-says-nothing-about-the-test-surface	DUP	agent/memory/fleet/a-surface-that-names-its-own-status-is-not-a-measurement-of-that-status.md
cargo-check-reports-zero-while-cfg-test-sites-remain	PROMOTE	new agent/memory/build/cargo-check-and-cargo-test-compile-different-code.md
cargo-replays-cached-diagnostics-so-log-size-cannot-detect-a-no-op-build	DROP	covered loosely by no-error-in-the-output-passes-when-there-is-no-output.md
carrier-canonicity-axis-for-lawful-class-laws	DUP	agent/memory/enclave/carrier-canonicity-axis-for-lawful-class-laws.md (checked-in copy current; no fold)
cast-direction-test-at-nondegenerate-endpoints	DUP	agent/memory/teams/kernel/cast-direction-test-at-nondegenerate-endpoints.md (checked-in copy current; no fold)
cat2-five-fork-rulings-wire-attested-abstractg-rowvar	DROP	July migration already dropped it: in-spec -- CAT-2 design rulings landed in spec chapters ~55-58; reusable reasoning nuggets
cat3-three-fork-rulings-perm-optic-name	DROP	July migration already dropped it: in-spec -- CAT-3 design rulings landed in spec chapters ~55-58; reusable nugget independen
cat4-three-fork-rulings-union-closure-relation	DROP	July migration already dropped it: in-spec -- CAT-4 design rulings landed in spec chapters ~55-58; reusable nuggets independe
catalog-factoring-review-standard-gap	OPERATOR	listed for the Steward (not placed in the corpus)
catalog-import-change-closure-includes-inventory-hardcoding-test-fixtures	DROP	WP-scoping fallout of the operator ruling in file 8, not standalone
catalog-modules-must-elaborate-from-own-declared-imports	OPERATOR	listed for the Steward (not placed in the corpus)
catalog-sources-are-literate-ken-md-not-ken	DUP	agent/memory/fleet/catalog-sources-are-literate-ken-md-not-ken.md (checked-in copy current; no fold)
cbv-eliminator-method-laziness	DUP	agent/memory/enclave/cbv-eliminator-method-laziness.md (checked-in copy current; no fold)
cfg-test-build-asymmetry-is-bidirectional	DUP	merged into promoted agent/memory/build/cargo-check-and-cargo-test-compile-different-code.md
check-compiler-capability-reachable-from-ken-source-before-funding-a-fix	OPERATOR	listed for the Steward (not placed in the corpus)
check-main-via-git-object-store-not-find	DUP	agent/memory/fleet/check-main-via-git-object-store-not-find.md (checked-in copy current; no fold)
check-silently-and-post-only-what-survives	DROP	personal-discipline reflection, covered loosely by negative-check/positive-control family
check-which-commit-introduced-an-ac-before-ruling-on-its-disposition	DROP	narrow Steward procedural nuance, covered loosely by scope/authority lessons
ci-history-answers-does-it-pass-on-main-for-free-but-read-the-job-conclusion-not-the-runs	DUP	agent/memory/fleet/a-workflow-green-can-mean-the-jobs-that-matter-were-skipped-not-that-they-passed.md
cited-ac-test-must-exercise-the-changed-shape	DUP	CHECKS.md#8
citing-a-private-lesson-to-another-seat-is-the-promotion-signal	DUP	agent/memory/fleet/citing-a-private-lesson-to-another-seat-is-the-promotion-signal.md (drift folded into it)
citing-a-private-lesson-to-someone-else-is-the-promotion-signal	DUP	agent/memory/fleet/citing-a-private-lesson-to-another-seat-is-the-promotion-signal.md
class-dict-explicit-vs-implicit-abstract-tyvar	DUP	agent/memory/enclave/class-dict-explicit-vs-implicit-abstract-tyvar.md (checked-in copy current; no fold)
classify-failures-by-the-error-production-raised-not-by-test-name	DROP	covered loosely by adversary classify-by-attribute family
classify-production-vs-test-by-the-items-attribute-not-its-file	DUP	agent/memory/roles/adversary/a-confirming-first-instance-is-when-the-sample-size-matters-most.md
claude-pane-seats-get-mention-pushes-on-a-backend-that-never-reaches-the-session	DROP	narrow infra incident (--fork-session flag), superseded by mootup fixes
claudex-luna-build-seat-wiring	DROP	infra wiring detail, stale/superseded proxy setup
cleanroom-is-role-discipline-not-host	DUP	agent/memory/fleet/cleanroom-is-role-discipline-not-host.md (checked-in copy current; no fold)
close-reopen-is-the-only-ci-retrigger-that-keeps-the-sha	DUP	agent/memory/fleet/a-stuck-required-check-is-not-slow-ci-and-rerunning-it-wedges-the-pr.md
codex-remote-compact-can-503-with-an-open-circuit-breaker	DROP	narrow infra incident, one-off provider outage
codex-safety-check-modal-blocks-t1-seat-defaults-to-downgrade	DROP	superseded: checked-in file now says do nothing, contradicts this file's "select keep waiting"
codex-seat-model-at-capacity-ends-turn-silently	DROP	narrow infra incident, covered loosely by ping-first/pane-ambiguity family
codex-seats-do-wake-real-gap-is-reply-to-eventid	DUP	agent/memory/fleet/codex-seats-do-wake-real-gap-is-reply-to-eventid.md (checked-in copy current; no fold)
codex-seats-keep-turn-active-through-completion	DROP	already codified in agent/playbooks/build/implementer.md and leader.md
codex-seats-strand-on-convo-mention-send-bare-enter	DUP	agent/memory/roles/steward/a-stranded-delivery-is-corroborated-by-the-recipients-own-status.md
coexist-over-subsume-when-trust-levels-differ	DUP	agent/memory/enclave/coexist-over-subsume-when-trust-levels-differ.md (checked-in copy current; no fold)
collapsing-two-steps-into-one-strands-the-contract-describing-the-seam	DROP	one-incident, covered loosely by stale-comment-after-restructuring family
commit-before-announcing-a-worktree-edit-is-not-a-deliverable	DUP	agent/memory/roles/steward/committed-is-not-reachable-publish-then-verify-on-main.md
commit-before-launching-a-worktree-sharing-subagent	DUP	agent/memory/fleet/git-checkout-ref-dot-silently-reverts-uncommitted-edits-worktree-wide.md
commit-docs-before-any-worktree-reverting-op	DUP	agent/memory/fleet/git-checkout-ref-dot-silently-reverts-uncommitted-edits-worktree-wide.md
commit-markdown-edits-before-delegating-wrap-md-80-subagent	DUP	agent/memory/fleet/git-checkout-ref-dot-silently-reverts-uncommitted-edits-worktree-wide.md
commit-real-fix-before-any-mutation-proof-reset	PROMOTE	new agent/memory/fleet/a-mutation-revert-restores-the-last-commit-not-the-pre-mutation-file.md
committed-is-not-reachable-publish-then-verify-on-main	DUP	agent/memory/roles/steward/committed-is-not-reachable-publish-then-verify-on-main.md (checked-in copy current; no fold)
committing-before-a-mutation-campaign-does-not-protect-work-added-during-it	DUP	merged into promoted agent/memory/fleet/a-mutation-revert-restores-the-last-commit-not-the-pre-mutation-file.md
compact-verify-survey-can-eat-the-compact-command	DUP	agent/memory/fleet/compact-verify-survey-can-eat-the-compact-command.md (drift folded into it)
compact-wiped-memory-reflog-first	DUP	agent/memory/fleet/compact-wiped-memory-reflog-first.md (checked-in copy current; no fold)
compaction-is-manual-no-clean-seam	DUP	agent/memory/fleet/compaction-is-manual-no-clean-seam.md (checked-in copy current; no fold)
compaction-render-delay-escape-aborts	DUP	agent/memory/fleet/compaction-render-delay-escape-aborts.md (checked-in copy current; no fold)
compaction-verify-on-the-compacted-marker-not-the-ctx-footer	DUP	agent/memory/fleet/compaction-render-delay-escape-aborts.md
comparing-two-values-for-equality-presupposes-there-are-two-values	DUP	CHECKS.md#1
compile-fail-doctest-error-code-annotation-is-not-enforced	DUP	agent/memory/roles/adversary/attack-an-impossibility-claim-at-module-scope-not-only-the-signature.md
compiler-enumeration-is-blind-to-the-wildcard-site	DUP	agent/memory/fleet/exhaustiveness-comes-from-an-unguarded-arm-not-from-the-match.md
compiler-internal-repair-leaving-observe-fence-is-not-a-section3-operator-escalation	OPERATOR	listed for the Steward (not placed in the corpus)
compiles-today-under-the-lane-being-retired-is-not-evidence-the-program-is-well-formed	DROP	narrow retirement-campaign incident
completeness-gate-must-be-bidirectional-exact-set-closure	DUP	agent/memory/roles/adversary/line-closure-check-must-compare-whole-files-not-diff-hunks.md
composer-placeholder-text-is-indistinguishable-from-a-stranded-instruction	DUP	agent/memory/roles/steward/a-stranded-delivery-is-corroborated-by-the-recipients-own-status.md
composer-placeholder-vs-stranded-text-is-decided-by-the-dim-attribute	DUP	agent/memory/roles/steward/a-stranded-delivery-is-corroborated-by-the-recipients-own-status.md
composition-wp-real-producer-may-be-deferred-engine	DUP	agent/memory/build/qa/composition-wp-real-producer-may-be-deferred-engine.md (checked-in copy current; no fold)
conformance-and-spec-index	DROP	index file (injected MEMORY.md or a sub-index); no lesson content
conformance-assert-at-locked-granularity	DUP	agent/memory/enclave/conformance-assert-at-locked-granularity.md (checked-in copy current; no fold)
conformance-hand-feeds-the-deliverable	DUP	agent/memory/build/qa/conformance-hand-feeds-the-deliverable.md (checked-in copy current; no fold)
conformance-oracle-grounding-fallback	DUP	agent/memory/roles/conformance-validator/conformance-oracle-grounding-fallback.md (checked-in copy current; no fold)
conformance-reconcile-inherits-spec-metatheory-bugs	DUP	agent/memory/enclave/conformance-reconcile-inherits-spec-metatheory-bugs.md (checked-in copy current; no fold)
conformance-validator-casts-spec-review-vote	DUP	agent/memory/roles/conformance-validator/conformance-validator-casts-spec-review-vote.md (checked-in copy current; no fold)
cons-vs-cons-abstract-element-needs-cong-not-tt-refl	DROP	proposed for promotion, not taken: Ken proof idiom; write-ken skill and CHECKS.md#11 territory
contract-expressibility-audit	DUP	agent/memory/fleet/never-pin-a-shape-that-cannot-state-its-own-contract.md
contract-spec-defer-spelling-not-concept	DUP	agent/memory/enclave/contract-spec-defer-spelling-not-concept.md (drift folded into it)
conv-reduction-arm-gate-needs-termination-stress	DUP	agent/memory/teams/kernel/conv-reduction-arm-gate-needs-termination-stress.md (checked-in copy current; no fold)
convo-mention-id-must-be-grepped-not-typed	DUP	July migration: agent/memory/fleet/mention-discipline.md
convo-message-type-is-closed-enum-invalid-drops-silently	DUP	agent/memory/fleet/mootup-posting-from-agent.md
convo-posting-mcp-can-be-down-while-channel-stays-up	DUP	agent/memory/roles/steward/steward-coldstart-infra-checks.md
coordination-fleet-index	DROP	index file (injected MEMORY.md or a sub-index); no lesson content
copying-a-neighbours-formatting-is-how-a-repo-rule-gets-broken-by-someone-who-read-it	DROP	proposed for promotion, not taken: the no-icons rule and its "copy the current rule" clause are already in CLAUDE.md
corpus-property-gate-only-as-strong-as-the-corpus	DUP	agent/memory/fleet/corpus-property-gate-only-as-strong-as-the-corpus.md (checked-in copy current; no fold)
corpus-wide-semantic-gate-fail-closed-filter-plus-real-checker	DUP	agent/playbooks/tools/pin-a-property.md (SS1 and SS4)
correct-semantics-vs-missing-port-is-decided-by-denotation-versus-bookkeeping	DROP	narrow Ken-runtime-retirement incident
correct-the-value-and-you-will-leave-the-unit-unexamined	DROP	rich but single-incident; unit-of-measurement point covered loosely elsewhere
correcting-a-claim-requires-sweeping-instructions-built-on-it	DUP	agent/memory/fleet/correcting-scope-must-sweep-whole-doc.md
correcting-scope-must-sweep-whole-doc	DUP	agent/memory/fleet/correcting-scope-must-sweep-whole-doc.md (checked-in copy current; no fold)
costing-a-change-in-time-when-the-binding-resource-is-stack	DUP	agent/playbooks/tools/stated-stacks.md
count-the-property-not-the-construct-in-front-of-you	DUP	agent/memory/roles/adversary/line-closure-check-must-compare-whole-files-not-diff-hunks.md
crate-wide-fmt-plus-git-add-A-smuggles-unrelated-files-into-a-scoped-diff	PROMOTE	new agent/memory/build/crate-wide-fmt-plus-git-add-A-smuggles-unrelated-files-into-a-scoped-diff.md
credit-window-reserve-opus-for-t1	OPERATOR	operator ruling; July migration dropped it (listed for the Steward)
cross-crate-declaration-text-oracle-is-invisible-to-targeted-builds	DUP	agent/memory/fleet/deliverability-is-part-of-mechanism-selection.md
crossed-instructions-arrival-order-is-not-authorship-order	DROP	narrow coordination incident, principle already pervasive in coordination corpus
ctx-percentage-is-not-evidence-of-stale-context	DUP	agent/memory/roles/steward/a-ctx-scan-greps-your-own-report-of-another-seats-ctx.md
cut-each-corpus-branch-from-a-freshly-reset-main-never-atop-your-own-in-flight-route	DUP	agent/memory/fleet/multi-worktree-cwd-drift-phantom-diff.md
d2f-emitter-mechanism-ruled-and-held-until-the-abi-partial-publishes	DROP	stale WP/node state; the file itself says the hold is discharged
dead-code-warnings-are-a-free-production-consumer-oracle	DUP	agent/memory/roles/adversary/a-single-site-claim-is-checkable-by-counting-the-operation-it-names.md
deceq-on-noncanonical-carrier-inhabits-bottom	DUP	July migration kept it; folded into agent/memory/enclave/carrier-canonicity-axis-for-lawful-class-laws.md in the 2026-07-28 corpus audit
declining-a-resource-handed-to-you-by-name-is-not-releasing-it	DUP	agent/memory/fleet/mention-discipline.md
declref-lowering-change-needs-elaborator-integration-tests	DUP	agent/memory/fleet/a-p-scoped-run-and-cis-workspace-run-compile-different-feature-sets.md
delegate-digest-not-authoring-for-oversized-file-conversion	DROP	one-off technique for a single large-file conversion task, not recurring
deliberate-and-unbuilt-are-opposite-instructions-to-a-future-reader	DROP	narrow single-incident scope-labeling, overlaps absent-invariant lessons
deliverability-is-part-of-mechanism-selection-not-a-post-review-discovery	DUP	agent/memory/fleet/deliverability-is-part-of-mechanism-selection.md
deliverable-labels-are-wp-local-so-d3-alone-names-nothing	DROP	narrow single-incident WP-label mixup
delivery-contract-op-list-can-overscope	DUP	agent/memory/roles/conformance-validator/delivery-contract-op-list-can-overscope.md (checked-in copy current; no fold)
dependency-bearing-catalog-pkg-needs-ordered-shared-env-harness	DROP	narrow catalog-build guidance tied to a specific WP naming scheme
dependent-match-construction-fails-closed-via-infer-elim	DUP	agent/memory/teams/kernel/dependent-match-construction-fails-closed-via-infer-elim.md (checked-in copy current; no fold)
dependent-match-context-telescope-convoy-debruijn-pitfalls	DROP	landed WP-specific elaborator-internals debugging narrative
dependent-match-motive-index-rebasing-must-be-gated-on-scrutinee-occurrence	DROP	landed WP-specific elaborator-internals debugging narrative
design-rulings-and-ac-scoping-index	DROP	index file (injected MEMORY.md or a sub-index); no lesson content
detector-side-and-population-side-mutations-are-not-interchangeable	DUP	agent/memory/fleet/mutation-proof-injection-point-is-a-reachability-tell.md
devcontainer-disk-topology-and-safe-reclaim	DROP	stale self-correcting incident log; superseded by worktree-proliferation/full-disk lessons
diagnosing-a-seat-from-a-tail-window-can-report-false-idle	DUP	agent/memory/roles/steward/audit-a-detector-against-the-case-whose-answer-you-already-know.md
differential-oracle-is-blind-to-a-shared-premise	DUP	agent/memory/roles/adversary/differential-oracle-is-blind-to-a-shared-premise.md (checked-in copy current; no fold)
differential-verify-which-mechanism-is-the-net	DUP	agent/memory/enclave/differential-verify-which-mechanism-is-the-net.md (checked-in copy current; no fold)
disclaimed-framing-still-binds-your-own-companion-artifact	DUP	agent/memory/enclave/disclaimed-framing-still-binds-your-own-companion-artifact.md (checked-in copy current; no fold)
discounting-evidence-weight-is-not-declining-to-assert-it	DUP	merged into promoted agent/memory/fleet/a-hedge-does-not-constrain-what-is-done-with-the-claim-it-hedges.md
discriminating-axis-vacuous-until-capability-lands	DUP	agent/memory/enclave/discriminating-axis-vacuous-until-capability-lands.md (checked-in copy current; no fold)
discriminating-conformance-verdict-must-flip	DUP	agent/memory/enclave/discriminating-conformance-verdict-must-flip.md (checked-in copy current; no fold)
discriminating-flip-must-be-checked-per-test	DUP	agent/memory/build/qa/discriminating-flip-must-be-checked-per-test.md (checked-in copy current; no fold)
discriminator-negative-arm-must-be-expressible-and-reaching	DUP	agent/memory/build/qa/discriminator-negative-arm-must-be-expressible-and-reaching.md (checked-in copy current; no fold)
do-not-build-on-an-unmerged-commit	DUP	agent/memory/fleet/do-not-build-on-an-unmerged-commit.md (checked-in copy current; no fold)
do-not-fetch-while-the-publisher-holds-its-window-a-lost-ref-cas-reads-as-unverified	DUP	agent/memory/roles/steward/fetching-during-the-publisher-window-freezes-the-NEXT-publish.md
do-not-gate-an-instruction-on-a-condition-the-recipient-cannot-observe	DUP	agent/COORDINATION.md §1a
doc-only-publish-may-have-already-merged-before-interrupt	DROP	narrow --doc-only script incident, overlaps existing publisher lessons
doc-track-concurrency-exception-is-doc-only-not-a-contention-free-rule	DUP	CLAUDE.md (doc-track concurrency-exception clause)
does-it-touch-the-forbidden-file-is-answered-by-a-field-probe-not-a-grep	DROP	narrow single-incident scope-probing technique
dont-ask-operator-to-confirm-a-well-documented-sequencing-release	OPERATOR	listed for the Steward (not placed in the corpus)
dont-assign-a-duty-to-a-seat-that-cannot-perform-it	DUP	agent/memory/fleet/deliverability-is-part-of-mechanism-selection.md
dont-flip-a-just-sent-ruling-without-checking-for-crossed-reply	DROP	narrow single-incident Architect ruling oscillation
dont-gate-a-trusted-base-change-qa-only	DROP	cites a COORDINATION §14 that now names a different topic; stale
dont-issue-an-instruction-that-embeds-a-state-claim	DROP	stale-embedded-state theme extensively covered elsewhere
dont-preempt-technical-fork-with-sequencing	DUP	agent/memory/enclave/dont-preempt-technical-fork-with-sequencing.md (checked-in copy current; no fold)
dont-publish-derived-code-measurements-state-the-property-let-the-ring-measure	DUP	agent/memory/roles/steward/dont-publish-derived-code-measurements-state-the-property-let-the-ring-measure.md (checked-in copy current; no fold)
dropping-a-measurements-scope-always-makes-the-claim-stronger	DROP	proposed for promotion, not taken: covered by fleet/a-claim-accurate-about-something-narrower-than-its-reader-infers.md
durable-checkpoint-becomes-a-source-of-stale-claims	DROP	same stale-state-claim family as above, already covered
dynamic-effect-lowering-needs-consumed-reply-reachability-ledger	DROP	narrow technical fixture-design requirement for one WP class
editing-a-cited-source-moves-its-oid-even-for-locator-only-changes	DUP	agent/memory/teams/doc/a-currency-finding-can-be-a-ledger-dependency.md
editing-an-artifact-the-checker-produces-instead-of-producing-it	DROP	closely related to existing producer-vs-proxy verification themes
effect-row-polymorphism-machinery-landed-gap-is-surface	DUP	agent/memory/teams/language/effect-row-polymorphism-machinery-landed-gap-is-surface.md (checked-in copy current; no fold)
elaborator-internals-index	DROP	index file (injected MEMORY.md or a sub-index); no lesson content
elapsed-silence-is-not-a-work-progress-signal-check-the-branch	DUP	agent/memory/roles/steward/a-working-idle-grep-keyed-on-one-harnesses-footer-reports-false-idle-on-the-other.md
eliminator-termination-finiteness-not-stuckness	DUP	agent/memory/enclave/eliminator-termination-finiteness-not-stuckness.md (checked-in copy current; no fold)
enclave-does-not-pull-in-build-leads	DUP	July migration: agent/memory/enclave/enclave-elaborates-autonomously-no-build-team-pulls.md
enclave-elaborates-autonomously-no-build-team-pulls	DUP	agent/memory/enclave/enclave-elaborates-autonomously-no-build-team-pulls.md (checked-in copy current; no fold)
enclave-ruling-in-thread-is-not-a-durable-deliverable	DUP	agent/memory/enclave/enclave-ruling-in-thread-is-not-a-durable-deliverable.md (checked-in copy current; no fold)
enriching-opaque-former-kind-is-kernel-clean	DUP	agent/memory/teams/kernel/enriching-opaque-former-kind-is-kernel-clean.md (checked-in copy current; no fold)
eq-congruence-gap-same-literal-spelling-workaround	DROP	self-flagged STALE-CORRECTED; capability landed, historical
es4-ac3-omega-elimination-kernel-blocker	DROP	July migration already dropped it: stale -- RESOLVED historical WP narrative (K4), fix landed in kernel + spec; superseded by
escalating-a-mechanism-question-your-own-ac-already-answers-by-forbidding-it	DROP	narrow single-incident WP ownership-boundary lesson
eval-only-harness-cant-detect-phantom-arg-staleness	DUP	agent/memory/build/qa/eval-only-harness-cant-detect-phantom-arg-staleness.md (checked-in copy current; no fold)
eval-reifier-change-needs-full-ken-interp-suite	DUP	agent/memory/fleet/a-p-scoped-run-and-cis-workspace-run-compile-different-feature-sets.md
eval-store-resync-recurring-trap	DUP	agent/memory/build/implementers/eval-store-resync-recurring-trap.md (checked-in copy current; no fold)
every-experiment-agreeing-can-mean-they-all-measured-one-stale-artifact	DROP	proposed for promotion, not taken: covered by fleet/a-mutation-that-passes-when-it-should-fail-means-a-stale-input.md and build/failed-post-condition-probe-suspect-the-probe-first.md
exact-text-oracle-pins-what-not-whether-good	DUP	agent/memory/fleet/deriving-from-the-contract-cannot-detect-a-defective-contract.md
exhaustiveness-claim-vs-defect-claim-route-differently	DROP	narrow single-incident adversary-escalation routing lesson
exported-name-migration-needs-whole-harness-consumer-inventory	DUP	agent/memory/roles/steward/exported-name-migration-needs-whole-harness-consumer-inventory.md (checked-in copy current; no fold)
expose-dispatch-in-motive-leave-scrutinee-folded	DUP	CHECKS.md#11
failed-post-condition-probe-suspect-the-probe-first	DUP	agent/memory/build/failed-post-condition-probe-suspect-the-probe-first.md (drift folded into it)
falsify-the-sweep-instrument-before-believing-either-a-hit-or-a-miss	DUP	agent/memory/roles/steward/audit-a-detector-against-the-case-whose-answer-you-already-know.md
fence-extraction-regex-must-be-line-anchored	DROP	narrow tooling-specific regex bug, one-off
filing-a-program-issues-node-requires-regenerating-implementation-progress-in-the-same-pr	PROMOTE	new agent/memory/roles/steward/filing-a-program-issues-node-requires-regenerating-implementation-progress-in-the-same-pr.md
final-topology-forecast-says-nothing-about-the-transitional-graph	DROP	narrow single-incident module-visibility-ordering lesson
find-newermt-silently-fails-in-agent-worktrees	DUP	agent/memory/roles/steward/audit-a-detector-against-the-case-whose-answer-you-already-know.md
finding-one-defect-in-a-paragraph-is-not-auditing-the-paragraph	DROP	proposed for promotion, not taken: covered by fleet/a-mechanism-claim-in-a-comment-is-structurally-exempt-from-execution.md
fingerprint-oracle-must-key-on-position-independent-identity	DROP	narrow technical Ken-kernel GlobalId oracle-design pitfall
fleet-model-rollout-stagger-restarts	DUP	agent/memory/roles/steward/fleet-model-rollout-stagger-restarts.md (checked-in copy current; no fold)
fold-in-doc-only-conditions-while-holding-branch	DUP	agent/memory/build/qa/fold-in-doc-only-conditions-while-holding-branch.md (checked-in copy current; no fold)
forcing-a-guard-requires-precision-about-where-it-is-and-nothing-about-why-it-exists	DUP	agent/memory/fleet/before-running-an-instrument-write-down-the-observation-that-would-end-it.md
formatter-canonicalization-mass-renames-identifiers-colliding-with-metavar-glyphs	DROP	narrow single-WP formatter-glyph incident, likely resolved
formatter-fixed-point-proves-stability-not-preservation	DUP	agent/memory/fleet/formatter-soundness-gates-are-blind-to-layout-conformance.md
frame-ac-cannot-require-process-local-seam-to-drive-cross-exec-child	DROP	narrow single-WP (PX16) frame-authoring technical lesson
frame-ac-pins-observe-real-failure-and-forbids-the-only-mechanism	DROP	narrow single-WP (PX7-R) frame-authoring technical lesson
frame-amendment-not-on-a-fetchable-ref-has-not-happened	DROP	cites a since-changed publishing constraint (steward/work push no longer available)
frame-error-variant-negative-arm-must-be-reachable-under-frames-own-inventory	DROP	narrow single-WP (PX7-R) frame-authoring technical lesson
frame-pinned-preservation-oracle-is-a-discharged-one-shot-proof	DUP	agent/memory/fleet/frame-pinned-preservation-oracle-is-a-discharged-one-shot-proof.md (checked-in copy current; no fold)
frame-pseudocode-diverges-from-landed-mechanism	DUP	agent/memory/fleet/frame-pseudocode-diverges-from-landed-mechanism.md (checked-in copy current; no fold)
frames-wps-and-review-index	DROP	index file (injected MEMORY.md or a sub-index); no lesson content
freeing-a-wp-branch-at-a-hard-stop-inverts-the-resume-precondition	DROP	narrow git-workflow footnote, overlaps branch-hygiene corpus
freeing-your-wp-branch-means-your-next-turn-starts-on-the-wrong-one	DROP	narrow git-workflow footnote, overlaps branch-hygiene corpus
frozen-ctx-with-work-owed-has-a-third-reading-delivered-and-unwoken	DROP	Steward-specific idle-detection nuance, thematically saturated by existing corpus
fusing-two-stages-must-not-materialize-the-intermediate	DROP	narrow technical Ken-runtime fusion-lowering lesson tied to one WP
gate-widening-exposes-latent-bugs-in-newly-reachable-code	DUP	agent/memory/teams/kernel/gate-widening-exposes-latent-bugs-in-newly-reachable-code.md (checked-in copy current; no fold)
